,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
6259,lynchburg,9850,2012.0,volkswagen,jetta,excellent,6 cylinders,diesel,99185.07784431137,clean,manual,fwd,sedan,silver,3
6260,lynchburg,10500,2008.0,jeep,wrangler,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,silver,2
6261,lynchburg,5995,2004.0,honda,cr-v,excellent,4 cylinders,gas,135342.0,clean,automatic,4wd,SUV,red,2
6262,lynchburg,10722,2014.0,jeep,patriot,excellent,4 cylinders,gas,85252.0,clean,automatic,4wd,SUV,red,2
6263,lynchburg,9861,2012.0,subaru,forester,excellent,4 cylinders,gas,115998.0,clean,automatic,4wd,SUV,white,2
6264,lynchburg,12804,2013.0,ford,edge,excellent,6 cylinders,gas,88056.0,clean,automatic,4wd,SUV,grey,2
6265,lynchburg,9234,2014.0,hyundai,elantra,excellent,4 cylinders,gas,96602.0,clean,automatic,fwd,sedan,silver,3
6266,lynchburg,6995,2012.0,ford,focus,excellent,6 cylinders,gas,0.0,clean,automatic,fwd,sedan,white,3
6267,lynchburg,4995,2008.0,mazda,mazda6,excellent,6 cylinders,gas,0.0,clean,automatic,fwd,sedan,white,3
6268,lynchburg,10500,2011.0,ford,taurus,excellent,6 cylinders,gas,100377.0,clean,automatic,4wd,sedan,white,2
6269,lynchburg,16950,2011.0,chevrolet,silverado,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6270,lynchburg,4200,2003.0,buick,lesabre limited 4dr sedan,excellent,6 cylinders,gas,83500.0,clean,automatic,fwd,sedan,silver,3
6271,lynchburg,2200,2000.0,ford,taurus se,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,silver,2
6272,lynchburg,11467,2015.0,chevrolet,cruze,excellent,4 cylinders,gas,56596.0,clean,automatic,fwd,sedan,black,3
6273,lynchburg,6554,2013.0,toyota,prius,excellent,4 cylinders,hybrid,187804.0,clean,automatic,fwd,other,grey,3
6274,lynchburg,4384,2000.0,gmc,jimmy,excellent,6 cylinders,gas,192751.0,clean,automatic,4wd,SUV,blue,1
6275,lynchburg,6497,2011.0,kia,sorento,excellent,4 cylinders,gas,143872.0,clean,automatic,4wd,SUV,custom,1
6276,lynchburg,9503,2012.0,toyota,camry,excellent,4 cylinders,gas,102143.0,clean,automatic,fwd,other,red,3
6277,lynchburg,4995,2012.0,honda,civic ex,good,4 cylinders,gas,108901.0,rebuilt,automatic,fwd,sedan,brown,3
